Query,Prompt,Generated_Answer
what are the 3 peaks in yorkshire called,"Question: what are the 3 peaks in yorkshire called


Document 1:
Ralph C. Merkle (born February 2, 1952, age ) is a computer scientist. He is one of the inventors of public-key cryptography, the inventor of cryptographic hashing, and more recently a researcher and speaker on cryonics. Contributions While an undergraduate, Merkle devised Merkle's Puzzles, a scheme for communication over an insecure channel, as part of a class project. The scheme is now recognized to be an early example of public key cryptography. He co-invented the Merkle–Hellman knapsack cryptosystem, invented cryptographic hashing (now called the Merkle–Damgård construction based on a pair of articles published 10 years later that established the security of the scheme), and invented Merkle trees. The Merkle–Damgård construction is at the heart of many hashing algorithms. While at Xerox PARC, Merkle designed the Khufu and Khafre block ciphers, and the Snefru hash function. Career Merkle was the manager of compiler development at Elxsi from 1980. In 1988, he became a research scientist at Xerox PARC. In 1999 he became a nanotechnology theorist for Zyvex. In 2003 he became a Distinguished Professor at Georgia Tech, where he led the Georgia Tech Information Security Center. In 2006 he returned to the San Francisco Bay Area, where he has been a senior research fellow at IMM, a faculty member at Singularity University, and a board member of the Alcor Life Extension Foundation. He was awarded the IEEE Richard W. Hamming Medal in 2010. Personal life Ralph Merkle is a grandnephew of baseball star Fred Merkle; son of Theodore Charles Merkle, director of Project Pluto; and brother of Judith Merkle Riley, a historical writer. Merkle is married to Carol Shaw, the video game designer best known for the 1982 Atari 2600 game, River Raid. Merkle is on the Board of Directors of the cryonics organization Alcor Life Extension Foundation. Merkle appears in the science fiction novel The Diamond Age, involving nanotechnology. Awards 1996 Paris Kanellakis Award (from the ACM) for the Invention of Public Key Cryptography. 1998 Feynman Prize in Nanotechnology for computational modeling of molecular tools for atomically-precise chemical reactions 1999 IEEE Koji Kobayashi Computers and Communications Award 2000 RSA Award for Excellence in Mathematics for the invention of public key cryptography. 2008 International Association for Cryptographic Research (IACR) fellow for the invention of public key cryptography. 2010 IEEE Hamming Medal for the invention of public key cryptography 2011 Computer History Museum Fellow ""for his work, with Whitfield Diffie and Martin Hellman, on public key cryptography."" 2011 National Inventors Hall of Fame, for the invention of public key cryptography 2012 National Cyber Security Hall of Fame inductee References References Ralph C. Merkle, Secrecy, authentication, and public key systems (Computer science), UMI Research Press, 1982, . Robert A. Freitas Jr., Ralph C. Merkle, Kinematic Self-Replicating Machines, Landes Bioscience, 2004, . Paul Kantor (Ed), Gheorghe Mureşan (Ed), Fred Roberts (Ed), Daniel Zeng (Ed), Frei-Yue Wang (Ed), Hsinchun Chen (Ed), Ralph Merkle (Ed), ""Intelligence and Security Informatics"" : IEEE International Conference on Intelligence and Security Informatics, ISI 2005, Atlanta, GA, US, May 19–20, ... (Lecture Notes in Computer Science), Springer, 2005, . Interview at Google Videos in the Death in the Deep Freeze documentary (August 2, 2006) Nova Southeastern University, Nanotechnology Expert Ralph Merkle to Speak on ""Life and Death"" (August 2008) External links Ralph Merkle's personal website Oral history interview with Martin Hellman from 2004, Palo Alto, California. Charles Babbage Institute, University of Minnesota, Minneapolis. Hellman describes his invention of public key cryptography with collaborators Whitfield Diffie and Ralph Merkle at Stanford University in the mid-1970s. He also relates his subsequent work in cryptography with Steve Pohlig (the Pohlig–Hellman system) and others. 1952 births Living people American cryptographers American people of Swiss descent Cryonicists Modern cryptographers American nanotechnologists Georgia Tech faculty 20th-century American inventors International Association for Cryptologic Research fellows Scientists at PARC (company) Computer security academics

",
what was the period before the enlightenment called,"Question: what was the period before the enlightenment called


Document 1:
Michael Roe (born October 12, 1954) is an American, singer, songwriter, and record producer. He is a member of the band The 77s. Career Although he has released several solo albums since the mid-1990s, Roe is primarily known as the lead singer and lead guitarist for the Christian alternative rock band the 77s. In addition to releasing albums under the moniker 7&7iS, he has recorded several instrumental albums with bandmate Mark Harmon. Roe is also a founding member of Lost Dogs. Discography Solo More Miserable Than You'll Ever Be, 7&7is (1989) Fun with Sound with Mark Harmon, 7&7iS (2004) RoesBuds (Fools of the World, 1994) Safe as Milk (Via, 1995) The Boat Ashore (Innocent Media, 1996) Safe as Milk Live – Cornerstone 1997 (Millenium Eight, 1999) Orbis with Mark Harmon (Fools of the World, 1999) Daydream with Mark Harmon (Fools of the World, 1999) Say Your Prayers (Fools of the World, 2002) All Day Sing and Dinner on the Ground with Terry Scott Taylor (Stunt/Fools of the World, 2003) We're All Gonna Face the Rising Sun (Lo-Fidelity, 2009) Michael Roe (Fools of the World, 2010) Kerosene Halo, with Derri Daugherty (2011) Guadalupe (Lo-Fidelity, 2014) Gimme a Kickstart ... and a Phrase or Two (Lo-Fidelity, 2014) Live in Torrance (Lo-Fidelity, 2014) Gothic (2016) With The 77s Ping Pong over the Abyss (Exit, 1982) All Fall Down (Exit, 1984) The 77s (Island, 1987) 7&7is (a.k.a. More Miserable Than You'll Ever Be) (1989, 1990, 2014) Sticks and Stones (Broken, 1990) Eighty Eight (Brainstorm Artists International, 1991) The 77s (a.k.a. Pray Naked) (Brainstorm, 1992) Drowning with Land in Sight (Myrrh, 1994) Tom Tom Blues (Brainstorm, 1995) Echos o' Faith (Fools of the World, 1996) EP A Golden Field of Radioactive Crows (Fools of the World, 2001) Fun with Sound (Fools of the World, 2004) Ninety Nine (Lo-Fidelity, 2007) Holy Ghost Building (Lo-Fidelity, 2008) Seeds and Stems (Lo-Fidelity, 2012) Misery Loves Company (Lo-Fidelity, 2014) Gimme a Kickstart ... and a Phrase or Two (Lo-Fidelity, 2014) Naked & Unashamed (2017) With Lost Dogs Scenic Routes (1992) Little Red Riding Hood (1993) The Green Room Serenade, Part One (1996) Gift Horse (1999) Real Men Cry (2001) Nazarene Crying Towel (2003) MUTT (2004) Island Dreams (2005) The Lost Cabin and the Mystery Trees (2006) Old Angel (2010) References External links 1954 births Living people American performers of Christian music Record producers from California American rock guitarists American male guitarists American male singer-songwriters American rock singers American rock songwriters Singer-songwriters from California Guitarists from California 20th-century American guitarists The 77s members Lost Dogs members The Swirling Eddies members 20th-century American male musicians

",uestion: What was
who's running for lieutenant governor in georgia,"Question: who's running for lieutenant governor in georgia

",
what is the full name of nigerian president,"Question: what is the full name of nigerian president


Document 1:
Protium may refer to: Protium (isotope) or hydrogen-1, the most common isotope of the element hydrogen, with one proton, one electron, and no neutrons Protium (plant), a genus of chiefly tropical American trees in the family Burseraceae, having fragrant wood Cadence Protium, hardware accelerated prototyping platforms for early software development by Cadence Design Systems See also Protonix, a commercial name for pantoprazole, a proton pump inhibitor drug

",Document 2:
who played fdr in the movie pearl harbor,"Question: who played fdr in the movie pearl harbor

",A. Robert Mitch
who played the voice of jabba the hutt,"Question: who played the voice of jabba the hutt

",
who won the women's fifa world cup,"Question: who won the women's fifa world cup

",
last team to win fa cup not in top division,"Question: last team to win fa cup not in top division

",Answer: Manchester United
what is the rank of india in the richest country,"Question: what is the rank of india in the richest country

",A. 1
when did zody's go out of business,"Question: when did zody's go out of business

",A. 1885
what is the meaning of the name patricia,"Question: what is the meaning of the name patricia

",
who came up with the idea of communism,"Question: who came up with the idea of communism


Document 1:
Mary River National Park is an Australian national park located about east and stretching to the southeast of Darwin in the Northern Territory. Geography Mary River National Park incorporates the following areas, some of which are not contiguous to each other. The park consists of four non-contiguous parts: Alligator Lagoon Conservation Area Annaburroo Delta Block Conservation Area Boggy Springs Conservation Area Jimmy's Creek Conservation Area Mary River Conservation Reserve Mary River Crossing Conservation Area McKinlay River Conservation Area Opium Creek Conservation Area Point Stuart Coastal Reserve Shady Camp Conservation Area Stuarts Tree Historical Reserve Swim Creek Conservation Area Wildman River Conservation Area Overview The Mary River National Park consists of a collection of small reserve areas which protects part of the Mary River catchment. The Mary River is one of eight rivers in the Top End that have large floodplains in their catchments. The Arnhem Highway crosses five of these eight rivers as one travels between Darwin and Jabiru. This Park is located 150 km east of Darwin along the Arnhem Highway. In the Dry Season, from May to September, most areas are accessible to all vehicles, however many roads are unsealed. During the Wet Season, from October to April, flooding can cause road closures. Recreational activities The Mary River Crossing on the Arnhem Highway 3 km west of the Bark Hut Inn has picnic areas, toilets and a boat ramp to make this an ideal site to access the Mary River system. Camping is not permitted at the Mary River Crossing. Rockhole is another popular access point to the waterways of the Mary River. A boat ramp and picnic facilities are located here, where Barramundi fishing is popular. Couzen's Lookout camping area offers secluded camping beside the Mary River. It is only a short walk to the lookout where the sunsets are stunning. Brian Creek Monsoon Forest is a patch of diverse monsoon forest that contrasts strongly with the surrounding woodlands. This is easily accessible. Shady Camp is a popular fishing spot with boat ramps, picnic areas and toilets. A viewing platform offers excellent views of the river and its many crocodiles upstream. A barrage helps prevent saltwater entering the freshwater wetlands. Camping is permitted and fees apply. Mistake Billabong has a shaded viewing platform where visitors can watch life on the billabong. Point Stuart is the historic location where John McDouall Stuart's exploring expedition reached the sea in 1862 after riding over 2,000 miles north to traverse the continent. It is open during the drier months of the year. See also Protected areas of the Northern Territory Wildman River Wilderness Work Camp References External links Mary River National ParkNatural Resources, Environment, The Arts and Sport; Northern Territory Government. Accessed on 10 May 2012. Parks and Wildlife Commission NT Official map of Mary River National Park National parks of the Northern Territory

",Question: who came
what did hal stand for in 2001 a space odyssey,"Question: what did hal stand for in 2001 a space odyssey

",
who wrote the music for how the grinch stole christmas,"Question: who wrote the music for how the grinch stole christmas

",
who becomes the president after the president is impeached,"Question: who becomes the president after the president is impeached

",
who plays young gideon in once upon a time,"Question: who plays young gideon in once upon a time


Document 1:
UWM may stand for Universities: University of Wisconsin–Milwaukee University of Warmia and Mazury in Olsztyn, Poland In computing: Ultrix Window Manager UDE Window Manager Others Ticker symbol for ProShares Ultra Russell2000 at NYSE Arca United World Mission United Wholesale Mortgage


Document 2:
A conceptual schema is a high-level description of informational needs underlying the design of a database. It typically includes only the main concepts and the main relationships among them. Typically this is a first-cut model, with insufficient detail to build an actual database. This level describes the structure of the whole database for a group of users. The conceptual model is also known as the data model that can be used to describe the conceptual schema when a database system is implemented. It hides the internal details of physical storage and targets on describing entities, datatypes, relationships and constraints. Overview A conceptual schema or conceptual data model is a map of concepts and their relationships used for databases. This describes the semantics of an organization and represents a series of assertions about its nature. Specifically, it describes the things of significance to an organization (entity classes), about which it is inclined to collect information, and its characteristics (attributes) and the associations between pairs of those things of significance (relationships). Because a conceptual schema represents the semantics of an organization, and not a database design, it may exist on various levels of abstraction. The original ANSI four-schema architecture began with the set of external schemata that each represents one person's view of the world around him or her. These are consolidated into a single conceptual schema that is the superset of all of those external views. A data model can be as concrete as each person's perspective, but this tends to make it inflexible. If that person's world changes, the model must change. Conceptual data models take a more abstract perspective, identifying the fundamental things, of which the things an individual deals with are just examples. The model does allow for what is called inheritance in object oriented terms. The set of instances of an entity class may be subdivided into entity classes in their own right. Thus, each instance of a sub-type entity class is also an instance of the entity class's super-type. Each instance of the super-type entity class, then is also an instance of one of the sub-type entity classes. Super-type/sub-type relationships may be exclusive or not. A methodology may require that each instance of a super-type may only be an instance of one sub-type. Similarly, a super-type/sub-type relationship may be exhaustive or not. It is exhaustive if the methodology requires that each instance of a super-type must be an instance of a sub-type. A sub-type named ""Other"" is often necessary. Example relationships Each PERSON may be the vendor in one or more ORDERS. Each ORDER must be from one and only one PERSON. PERSON is a sub-type of PARTY. (Meaning that every instance of PERSON is also an instance of PARTY.) Each EMPLOYEE may have a supervisor who is also an EMPLOYEE. Data structure diagram A data structure diagram (DSD) is a data model or diagram used to describe conceptual data models by providing graphical notations which document entities and their relationships, and the constraints that bind them. See also Concept mapping Conceptual framework Conceptual graphs Conceptual model (computer science) Data modeling Entity-relationship model Object-relationship modelling Object-role modeling Knowledge representation Logical data model Mindmap Ontology Physical data model Semantic Web Three schema approach References Further reading Perez, Sandra K., & Anthony K. Sarris, eds. (1995) Technical Report for IRDS Conceptual Schema, Part 1: Conceptual Schema for IRDS, Part 2: Modeling Language Analysis, X3/TR-14:1995, American National Standards Institute, New York, NY. Halpin T, Morgan T (2008) Information Modeling and Relational Databases, 2nd edn., San Francisco, CA: Morgan Kaufmann. External links A different point of view, as described by the agile community Data modeling Concepts

",Question: who plays
who sets the salaries for senate and house members,"Question: who sets the salaries for senate and house members

",
where is the setting of charlotte's web,"Question: where is the setting of charlotte's web


Document 1:
Elmer Township is a civil township of Sanilac County in the U.S. state of Michigan. The population was 790 at the 2000 census. Communities Elmer is an unincorporated community at the junction of M-19 and M-46 along the northern boundary of the township with Moore Township at The first white settler in the area, Walter Hyslop, arrived in January 1866. The community was named after the township, which was organized in 1870. A post office operated from January 1876 until June 1906. Juhl is a historical settlement in the township at Juhl was founded in 1882 by Jens C. Juhl, a native of Denmark. It became a Danish community, with as many as a hundred families from Denmark living there. A post office operated from February 1889 until June 1906. Marlette is a city located to the southwest and the Marlette ZIP code 48453 serves the southern and western portions of the township. Sandusky is a city located to the northeast and the Sandusky ZIP code 48471 serves the northern and eastern portions of the township. Snover is an unincorporated community located to the north and the Snover ZIP code 48472 serves the northwest corner of Elmer Township. Geography According to the United States Census Bureau, the township has a total area of , all land. Demographics As of the census of 2000, there were 790 people, 282 households, and 228 families residing in the township. The population density was 21.8 per square mile (8.4/km2). There were 308 housing units at an average density of 8.5 per square mile (3.3/km2). The racial makeup of the township was 98.61% White, 0.13% Native American, 0.51% Asian, and 0.76% from two or more races. Hispanic or Latino of any race were 0.25% of the population. There were 282 households, out of which 39.0% had children under the age of 18 living with them, 71.6% were married couples living together, 6.0% had a female householder with no husband present, and 18.8% were non-families. 17.0% of all households were made up of individuals, and 7.8% had someone living alone who was 65 years of age or older. The average household size was 2.79 and the average family size was 3.14. In the township the population was spread out, with 27.6% under the age of 18, 7.2% from 18 to 24, 30.3% from 25 to 44, 20.1% from 45 to 64, and 14.8% who were 65 years of age or older. The median age was 38 years. For every 100 females, there were 102.0 males. For every 100 females age 18 and over, there were 102.1 males. The median income for a household in the township was $41,563, and the median income for a family was $43,929. Males had a median income of $30,000 versus $22,250 for females. The per capita income for the township was $15,023. About 8.0% of families and 12.9% of the population were below the poverty line, including 19.2% of those under age 18 and 8.5% of those age 65 or over. References Townships in Sanilac County, Michigan 1870 establishments in Michigan Townships in Michigan

",Document 2:
who played guitar solo on reeling in the years,"Question: who played guitar solo on reeling in the years

","From clue 1,"
what order do the resident evil films go in,"Question: what order do the resident evil films go in


Document 1:
Year 1376 (MCCCLXXVI) was a leap year starting on Tuesday (link will display the full calendar) of the Julian calendar. Events <onlyinclude> January–December March – The peace treaty between England and France is extended until April, 1377. March 31 – Pope Gregory XI excommunicates all members of the government of Florence, and places the city under an interdict. April 28 – The Good Parliament begins in England (so called because its members attempted to reform the corrupt Royal Council on that date). May 3 – Olav IV Haakonsson is elected King Oluf II of Denmark, following the death of his grandfather, Valdemar IV, in 1375. June – Catherine of Siena visits Pope Gregory XI in Avignon, to attempt to persuade him to make peace with Florence, and move the Papacy back to Rome. June 7 – The dying Prince Edward summons his father, Edward III, and brother, John of Gaunt, and makes them swear to uphold the claim to the throne of his son Richard; Edward is the first ""English"" Prince of Wales not to become King of England. July 10 – The Good Parliament is dissolved (at that time, it was the longest Parliament to have sat in England). August 12 – With the help of the Genoese, Byzantine co-emperor Andronicus IV Palaeologus invades Constantinople and dethrones his father, John V Palaeologus, as co-emperor. John V Palaeologus is taken prisoner. September – John of Gaunt summons religious reformer John Wyclif to appear before the Royal Council. November 20 – Richard of Bordeaux, son of the Black Prince, is created Prince of Wales in succession to his father. December 25 – John of Gaunt presents his nephew, Richard of Bordeaux, to the feudatories of the realm and swears to uphold Richard's right to succeed Edward III. Dates Unknown Acamapichtli becomes the first tlatoani of Tenochtitlan. Births November 9 – Edmund Mortimer, English nobleman and rebel (d. c. 1409) date unknown Gihwa, scholar in Korean Buddhism (d. 1433) Sofia of Bavaria, queen consort of Bohemia (d. 1425) Yusuf III, Sultan of Granada (d. 1417) Deaths January 24 – Richard FitzAlan, 10th Earl of Arundel, English military leader April 6 – Przecław of Pogorzela, Cardinal and Bishop of Wrocław (b. 1310) May 30 – Joan of Ponthieu, Dame of Epernon, French countess regent June 8 – Edward, the Black Prince, son of King Edward III of England (b. 1330) July 22 – Simon Langham, Archbishop of Canterbury (b. 1310) References


Document 2:
Hayes may refer to: Hayes (surname), including a list of people with the name Rutherford B. Hayes, 19th president of the United States Businesses Hayes Brake, an American designer and manufacturer of disc brakes Hayes Manufacturing Company, a Canadian manufacturer of heavy trucks Hayes Microcomputer Products, an American manufacturer of modems Football clubs A.F.C. Hayes, an English football club in Hayes, Hillingdon Hayes F.C., a former English football club in Hayes, Hillingdon Hayes & Yeading United F.C., an English football club formed from the merger of Hayes F.C. and Yeading F.C. Places United Kingdom Hayes, Bromley, London, formerly in Kent Hayes railway station Hayes School Hayes, Hillingdon, London, formerly in Middlesex Hayes & Harlington railway station, historically Hayes station Hayes Urban District, later known as Hayes and Harlington Urban District Hayes, Staffordshire, a location The Hayes, a commercial area in Cardiff, Wales United States Hayes, California Hayes, Louisiana Hayes, South Dakota Hayes, Wisconsin Hayes County, Nebraska Hayes Center, Nebraska, a village Hayes State Park, in Michigan Hayes Township (disambiguation) Hayes Valley, San Francisco, California Hayes Volcano, in Alaska Elsewhere Hayes, Jamaica Hayes, Moselle, France Hayes Corners, Ontario (disambiguation), several places in Canada Hayes Glacier, in Antarctica Hayes Prison Farm, in Tasmania, Australia Hayes, Tasmania, Australia Hayes River, in Manitoba, Canada, draining into the Hudson Bay Hayes River (British Columbia), Canada, entering Teslin Lake Presidente Hayes Department, Paraguay Lake Hayes, South Island, New Zealand See also Hayes Creek (disambiguation) Hayes High School (disambiguation) Hayesville (disambiguation) Hays (disambiguation) Haze (disambiguation) Justice Hayes (disambiguation) La Haye (disambiguation) Hay, cut and dried grass or other plants Francesco Hayez (1791–1882), an Italian painter

",Document 3:
who is the actor that plays stefan salvatore,"Question: who is the actor that plays stefan salvatore


Document 1:
Oberon is a legendary king of the fairies. Oberon may also refer to: Creative works and characters Oberon (Seyler), a 1789 Singspiel by Friederike Sophie Seyler Oberon (Weber), an 1826 opera by Carl Maria von Weber Oberon (poem), a 1796 epic poem by Christoph Martin Wieland Oberon, the Faery Prince, a 16th-century masque by Ben Jonson Oberon (comics), a character in DC Comics Oberon, a character in The Chronicles of Amber Oberon, a Gargoyles character Oberon, a fictional spacecraft in Planet of the Apes Oberon, a playable character in the game Warframe Oberon, a character in the manga The Ancient Magus' Bride Oberon, a character in the play A Midsummer Night's Dream Computing Oberon (operating system) Oberon (programming language) Naval vessels HMS Oberon (1805), a 16-gun brig-sloop HMS Oberon (P21), an Odin-class submarine launched in 1926 HMS Oberon (S09), an Oberon-class submarine launched in 1959 Oberon-class submarine Places Oberon, New South Wales, a town in Australia Oberon Council, a local government area in New South Wales, Australia Oberon, North Dakota, US Lake Oberon in the Arthur Range, Tasmania Other uses Oberon (moon), a moon of Uranus Oberon Books, a publisher based in London Oberon High School, a secondary school in Victoria, Australia Oberon Mall, a shopping mall in India Oberon Media, a multi-platform casual games company Oberon, a beer manufactured by Bell's Brewery People with the name Merle Oberon (1911–1979), British actress Oberon Zell-Ravenheart (born 1942), Neopagan activist See also Auberon (disambiguation) HMS Oberon, a list of ships

",Question: Who is
who played david in the assassination of versace,"Question: who played david in the assassination of versace

",A. daniel
who played in the super bowl this year,"Question: who played in the super bowl this year

",
when did jem and the holograms come out,"Question: when did jem and the holograms come out


Document 1:
Roberts is a village in Ford County, Illinois, United States. The population was 362 at the 2010 census. History Roberts was named for the first permanent settlers in the area, Jesse and Livingston Roberts. Geography Roberts is located at (40.613310, -88.182685). According to the 2010 census, Roberts has a total area of , all land. Demographics As of the census of 2000, there were 387 people, 169 households, and 103 families residing in the village. The population density was 746.9 people per square mile (287.3/km). There were 194 housing units at an average density of 374.4 per square mile (144.0/km). The racial makeup of the village was 98.97% White and 1.03% Native American. Hispanic or Latino of any race were 1.29% of the population. There were 169 households, out of which 24.9% had children under the age of 18 living with them, 53.3% were married couples living together, 7.7% had a female householder with no husband present, and 38.5% were non-families. 33.7% of all households were made up of individuals, and 21.9% had someone living alone who was 65 years of age or older. The average household size was 2.29 and the average family size was 2.99. In the village, the population was spread out, with 23.8% under the age of 18, 5.4% from 18 to 24, 25.8% from 25 to 44, 23.0% from 45 to 64, and 22.0% who were 65 years of age or older. The median age was 42 years. For every 100 females, there were 80.0 males. For every 100 females age 18 and over, there were 82.1 males. The median income for a household in the village was $32,321, and the median income for a family was $50,000. Males had a median income of $31,250 versus $21,875 for females. The per capita income for the village was $17,926. About 5.0% of families and 7.5% of the population were below the poverty line, including 19.2% of those under age 18 and 2.4% of those age 65 or over. References Villages in Ford County, Illinois Villages in Illinois

",Question: What is
who played amy grant and i can only imagine,"Question: who played amy grant and i can only imagine

",#include <i
who sang the theme song for as told by ginger,"Question: who sang the theme song for as told by ginger

",
who sings the theme song to mystery science theater 3000,"Question: who sings the theme song to mystery science theater 3000


Document 1:
Plains is a city in Meade County, Kansas, United States. As of the 2020 census, the population of the city was 1,037. It is notable for the width of its main street which is the widest in the United States at across. History Plains was originally called West Plains, and under the latter name was platted in January 1885. Geography According to the United States Census Bureau, the city has a total area of , all of it land. Climate According to the Köppen Climate Classification system, Plains has a semi-arid climate, abbreviated ""BSk"" on climate maps. Demographics 2010 census At the 2010 census, there were 1,146 people, 385 households and 310 families residing in the city. The population density was . There were 439 housing units at an average density of . The racial makeup of the city was 88.1% White, 0.3% African American, 1.0% Native American, 0.4% Asian, 8.5% from other races, and 1.7% from two or more races. Hispanic or Latino of any race were 36.0% of the population. There were 385 households, of which 42.9% had children under the age of 18 living with them, 67.3% were married couples living together, 8.3% had a female householder with no husband present, 4.9% had a male householder with no wife present, and 19.5% were non-families. 18.2% of all households were made up of individuals, and 6.5% had someone living alone who was 65 years of age or older. The average household size was 2.98 and the average family size was 3.38. The median age in the city was 30.9 years. 33.9% of residents were under the age of 18; 8.8% were between the ages of 18 and 24; 25.9% were from 25 to 44; 21.6% were from 45 to 64; and 9.8% were 65 years of age or older. The gender makeup of the city was 51.8% male and 48.2% female. 2000 census At the 2000 census, there were 1,163 people, 402 households and 303 families residing in the city. The population density was 1,175.8 per square mile (453.6/km). There were 453 housing units at an average density of 458.0 per square mile (176.7/km). The racial makeup of the city was 82.12% White, 1.29% Native American, 14.27% from other races, and 2.32% from two or more races. Hispanic or Latino of any race were 26.23% of the population. There were 402 households, of which 43.5% had children under the age of 18 living with them, 64.7% were married couples living together, 7.0% had a female householder with no husband present, and 24.4% were non-families. 22.1% of all households were made up of individuals, and 10.7% had someone living alone who was 65 years of age or older. The average household size was 2.89 and the average family size was 3.41. 34.5% of the population were under the age of 18, 10.1% from 18 to 24, 27.6% from 25 to 44, 16.3% from 45 to 64, and 11.6% who were 65 years of age or older. The median age was 28 years. For every 100 females, there were 102.6 males. For every 100 females age 18 and over, there were 101.1 males. The median household income was $39,688 and the median family income was $44,167. Males had a median income of $31,354 compared with $21,023 for females. The per capita income for the city was $16,047. About 11.4% of families and 13.6% of the population were below the poverty line, including 19.3% of those under age 18 and 0.9% of those age 65 or over. Education Plains is a part of USD 483 Southwestern Heights. The district high school, Southwestern Heights, is located between Kismet and Plains. The Southwestern Heights High School mascot is Southwestern Heights Mustangs. References Further reading External links Plains - Directory of Public Officials USD 483, local school district Photos of early Plains Plains City Map, KDOT Cities in Meade County, Kansas Cities in Kansas

",pic: <soc
who plays gowen on when calls the heart,"Question: who plays gowen on when calls the heart


Document 1:
Vance is a town in Tuscaloosa and Bibb counties in the U.S. state of Alabama. As of the 2010 census it had a population of 1,529. It is most famous for the Mercedes-Benz U.S. International plant, currently the only one in North America. The current mayor of Vance is Brenda Morrison. The Tuscaloosa County portion of Vance is part of the Tuscaloosa Metropolitan Statistical Area, while the Bibb County portion is part of the Birmingham–Hoover Metropolitan Statistical Area. History The town of Vance was first settled in 1830 by David M. Lindley. At that time, the town was called Trion and it was a trading post on the Old Huntsville Road. In 1872, Trion was renamed Smallwood in honor of sawmill owner Charles Smallwood. In 1879, Smallwood was renamed its current name Vance in honor of Dr. William Vance of North Carolina. It appeared on the 1880 U.S. Census as the village of Vance's Station. It formally incorporated in 1972. Town government Council members Mayor – Brenda Morrison Place 1 – Debbie Minor Place 2 – Ginger Turner Place 3 – Jay Kelley Place 4 – Amanda Bell Place 5 – Dianne Averett Town Clerk – Tracy Burt Police department Chief of Police - W. T. Graham Assistant Chief - L. B. Bigham Police Officers Cordell Smith Elliot Waters Jonathan Mitchell Fire department Fire Chief – Harold McAdory Education Tuscaloosa County Schools operates these public schools in Vance: Vance Elementary School Geography Most of the town of Vance is located in southeastern Tuscaloosa County, with the town center at 33°9'52.276"" North, 87°13'54.185"" West (33.164521, -87.231718). The town extends south into Bibb County. U.S. Route 11 passes through the center of the town, leading west to Tuscaloosa and northeast to downtown Birmingham. Interstate 59 parallels Route 11 and serves Vance via Exit 89, adjacent to the Mercedes-Benz plant. According to the U.S. Census Bureau, the town has a total area of , of which is land and , or 0.29%, is water. Climate Average annual rainfall is . Demographics 2020 census As of the 2020 United States census, there were 2,092 people, 515 households, and 380 families residing in the town. 2010 census As of the census of 2010, there were 1,529 people, 537 households, and 400 families residing in the town. The population density was 150 people per square mile (58.0/km). There were 592 housing units at an average density of 58.0 per square mile (22.3/km). The racial makeup of the town was 88.8% White, 7.2% Black or African American, 0.4% Native American, 1.7% from other races, and 1.3% from two or more races. 5.6% of the population were Hispanic or Latino of any race. There were 537 households, out of which 42.6% had children under the age of 18 living with them, 61.6% were married couples living together, 7.4% had a female householder with no husband present, and 25.5% were non-families. 19.9% of all households were made up of individuals, and 4.9% had someone living alone who was 65 years of age or older. The average household size was 2.85 and the average family size was 3.30. In the town, the population was spread out, with 29.8% under the age of 18, 9.4% from 18 to 24, 35.3% from 25 to 44, 18.2% from 45 to 64, and 7.3% who were 65 years of age or older. The median age was 31.1 years. For every 100 females, there were 108.3 males. For every 100 females age 18 and over, there were 114.3 males. The median income for a household in the town was $55,938, and the median income for a family was $70,114. Males had a median income of $49,583 versus $38,450 for females. The per capita income for the town was $24,406. About 3.4% of families and 4.5% of the population were below the poverty line, including 2.1% of those under age 18 and 8.7% of those age 65 or over. References External links Town of Vance official website 1830 establishments in Alabama Birmingham metropolitan area, Alabama Populated places established in 1830 Towns in Alabama Towns in Bibb County, Alabama Towns in Tuscaloosa County, Alabama Tuscaloosa, Alabama metropolitan area

",pic: <soc
who wrote the song the air that i breathe,"Question: who wrote the song the air that i breathe

",
as a result of ach stimulation calcium ions are released from the,"Question: as a result of ach stimulation calcium ions are released from the

",# Solution
how many judges are there in the book of judges in the bible,"Question: how many judges are there in the book of judges in the bible

",
what new technology helped win the war in the pacific,"Question: what new technology helped win the war in the pacific

",
when did world war 2 star and end,"Question: when did world war 2 star and end

",
when was the catechism of the catholic church written,"Question: when was the catechism of the catholic church written

",A. 1566
