Query,Prompt,Generated_Answer
who controlled the economy of the incan empire,"Question: who controlled the economy of the incan empire


Document 1:
Year 1365 (MCCCLXV) was a common year starting on Wednesday (link will display the full calendar) of the Julian calendar. Events January–December March 3 – Battle of Gataskogen: Albert of Mecklenburg defeats and captures Magnus Eriksson, obtaining the throne of Sweden. March 12 – The University of Vienna is founded. June 2 – The Hungarian occupation of Vidin begins with the capture of the city by Louis I of Hungary's forces and the imprisonment of Ivan Sratsimir of Bulgaria. October – Alexandrian Crusade: The city of Alexandria in Egypt is sacked by an allied force of Peter I of Cyprus and the knights of the Order of St. John of Jerusalem. November 30 – The Nagarakretagama, a Javanese epic poem chronicling the journey of the Majapahit king, Hayam Wuruk, through his kingdom, is completed by Mpu Prapanca. Date unknown Adrianopole (modern-day Edirne) becomes the capital city of the Ottoman Sultanate. In modern-day southern India, Bahmani Sultan Mohammed Shah I invades the Vijayanagara Empire. The Sukhothai Kingdom in northern Thailand becomes a tributary state of the Ayutthaya Kingdom. Births January 27 – Edward of Angoulême, French-born royal prince of England (d. 1370) July 25 – U of Goryeo, Korean king (d. 1389) date unknown – Abd al-Karīm al-Jīlī, Baghdadi Sufi author (d. 1424) approximate date – Violant of Bar, queen regent of Aragon (d. 1431) Deaths March 8 – Queen Noguk of Korea May 17 – Louis VI the Roman, Duke of Bavaria and Elector of Brandenburg (b. 1328) July 27 – Rudolf IV, Duke of Austria (b. 1339) December 8 – Nicholas II, Duke of Opava (b. 1288) date unknown – Zhu Derun, Chinese painter and poet (b. 1294) References

",Topic: History
who sings the song ooh child things are going to get easier,"Question: who sings the song ooh child things are going to get easier


Document 1:
Elfenland is a German-style board game designed by Alan R. Moon and published by Amigo Spiele in German and Rio Grande Games in English in 1998. It is originally based on his earlier game Elfenroads (published by White Wind), but since Elfenroads took about four hours for a game, the play was simplified to reduce the time closer to an hour, making it appeal more as a family game. It won the Spiel des Jahres award in 1998 and won the third place Deutscher Spiele Preis award in 1998. Gameplay The game is played by 2–6 players, with 4–5 making for the best game. Each player tries to reach as many cities as possible and then return to his ""home city."" Home cities are drawn at the beginning of the game from a pack of city cards and they remain hidden throughout the game. The game is thus reminiscent of the traveling salesman problem. Players move using transportation cards. Elves can travel on a wide variety of vehicles including troll wagons, elf cycles, rafts, giant pigs, unicorns, dragons and magic clouds. Different types of transportation will travel better over different terrain, and some methods of transport cannot cross certain terrains at all. There is only one problem: you cannot travel over a route (except water) unless there is a tile on that road, and only the type of transport shown on the tile can be used to move along that road. Before anyone can move, tiles are drawn and laid out across the board. This part is the one that calls for the most strategy, as players try to line up their tiles to set up a nice route for themselves and a difficult one for their opponents at the same time. As well as normal tiles, each player receives one trouble tile for use during the game. These hinder other players by forcing them to use an extra transportation card at that point. Also, any player can simply use any three cards to pass over any route that has a tile already there, allowing the type of transport shown on the tile to be ignored. The game has subtle strategies to make others navigate through the cities. When a player puts a transportation type you don't want in your path then you have to find a way around it. All of the aspects of the game make for a very exciting race to visit the most cities while never quite being sure who is winning until the last round. Expansion There was an expansion for Elfenland published, called Elfengold. Note that this is different from the original Elfengold published by White Wind. The expansion, however, is hard to find. References External links Fantasy board games Spiel des Jahres winners Alan R. Moon games Amigo Spiele games Rio Grande Games games Board games introduced in 1998

",Question: Who designed
when did texting become available on cell phones,"Question: when did texting become available on cell phones

",
who commanded british forces at the battle of waterloo,"Question: who commanded british forces at the battle of waterloo


Document 1:
West Hill is a national park in Carmila, Isaac Region, Queensland, Australia. Geography The park is northwest of Brisbane. See also Protected areas of Queensland References National parks of Central Queensland Protected areas established in 1971

",Document 2:
when did rudolph's shiny new year come out,"Question: when did rudolph's shiny new year come out


Document 1:
, or ""Bow-Lingual"" as the North American version is spelled, is a computer-based dog language-to-human language translation device developed by Japanese toy company Takara and first sold in Japan in 2002. Versions for South Korea and the United States were launched in 2003. The device was named by Time magazine as one of the ""Best Inventions of 2002."" The inventors of BowLingual, Keita Satoh, Matsumi Suzuki and Norio Kogure were awarded the 2002 Ig Nobel Prize for ""promoting peace and harmony between the species."" The device is presented as a ""translator"" but has been called an ""emotion analyzer"". It is said to categorize dog barks into one of six standardized emotional categories. BowLingual also provides a phrase which is representative of that emotion. The product instructions state that these phrases ""are for entertainment purposes only"" and are not meant to be accurate translations of each bark. Features BowLingual has bow functions which include dog training tips, a ""Bow Wow Diary,"" tips on understanding a dog's body language, a medical checklist and a home alone bark recording function. The device consists of a hand-held receiver that contains a LCD information screen and functions as the controller and a wireless microphone-transmitter which is attached to the dog's collar. When a dog barks, the microphone records and transmits the sound to the hand-held unit for computer analysis by a database with thousands of dog barks pre-recorded into it. The unit then categorizes the bark into one of six distinct dog emotions (happy, sad, frustrated, on-guard, assertive, needy) and displays the corresponding emotion on the screen. After displaying the emotion, BowLingual then displays a phrase which has been categorized to fit within the range of each emotion. Versions Regional versionals of BowLingual have been released in Japan, South Korea, the US and Canada. The versions for South Korea, the US and Canada have different modifications in comparison to the Japanese version. In May 2003, at the request of the Japan Foreign Ministry, Takara provided Japanese Prime Minister Junichiro Koizumi with two prototypes of the English version of BowLingual several months before it had been released in North America. Koizumi then presented these to Russian President Vladimir Putin, for each of his dogs (Tosca, a standard Poodle, and Connie, a Labrador Retriever), at ceremonies celebrating the 300th anniversary of St. Petersburg. Effectiveness BowLingual uses customized voice-print analysis technology which has been adapted for dog barks. The accuracy of this product can be affected by varying conditions and situations. Sound interference can occur when the wireless collar-microphone picks up noises made by chain collars and collars with dog tags attached. As a result, the dog owner may believe that the device is malfunctioning and not registering the dog bark correctly. In windy conditions, the microphone will sometimes interpret a gust of wind as a bark. Electrical equipment and certain radio signals may trigger false readouts. Due to improvements with the US and Canadian versions of the products, these problems are more common with the Japanese and South Korean versions. One reviewer of the product, vet Sophia Yin stated ""it's not very useful because the translations aren't trustworthy and most don't make sense."" Csaba Molnar and colleagues at Eotvos Lorand University, Budapest, Hungary proved by computer-based machine learning algorithms that there are consistent differences in the acoustics of dog barks according to the behavioural context and individuals. Related products In 2003 Takara launched a follow-up product for cats called Meowlingual (ミャウリンガル). It functioned similarly to BowLingual; however, it did not use the wireless microphone system. Instead, the microphone was contained in the main hand-held unit so that the user had to be close enough to, in effect, ""interview"" the cat. Without the wireless component, Meowlingual was considerably cheaper than BowLingual. Meowlingual was never launched in the U.S. or any other countries, so only Japanese language versions exist. The iPhone version of BowLingual similarly listens to the dog through the iPhone's microphone. See also Human-animal communication External links Time Magazine Best Inventions 2002, Bowlingual BowLingual Web page (archived) MeowLingual Web page (archived) Bowlingual presented by Japan prime minister to Russian president Critical review References Dog training and behavior Machine translation 2000s toys Human–animal communication

",Question: when did
who comprised a third of brazil's european immigrant population,"Question: who comprised a third of brazil's european immigrant population

",
what star wars movie came out before the last jedi,"Question: what star wars movie came out before the last jedi

",
who wrote the song drive by the cars,"Question: who wrote the song drive by the cars

",
where is the telephone area code 585 located,"Question: where is the telephone area code 585 located

",Rewritten Par
who plays earl's dad in my name is earl,"Question: who plays earl's dad in my name is earl

",
who did otto go with to north korea,"Question: who did otto go with to north korea

",
when did shania twain released come on over,"Question: when did shania twain released come on over

",Answer: Shania
where is the most distortion found on robinson,"Question: where is the most distortion found on robinson


Document 1:
The Rockford Aviators were a professional baseball team based in Rockford, Illinois that played in the independent Frontier League. Rockford previously had a team in the Frontier League called the RiverHawks (2002-2009). There was no Rockford team in the Frontier League in 2010 as the team played in the independent Northern League. A separate RiverHawks franchise then returned to the Frontier League in 2011 and changed the team name to Aviators 2013. The RiverHawks began play at Marinelli Field. In 2006, Rockford moved to RiverHawks Stadium, now known as Rivets Stadium, located in Loves Park, Illinois. History The Aviators Frontier League franchise was relocated from Springfield, Illinois, where the franchise played as the Springfield Capitals. The team moved to Rockford for the 2002 season. The RiverHawks franchise moved to the Northern League in 2010, but stayed for one season before a Rockford team returned to the Frontier League in 2011 when the Northern League folded. The team changed the name to the Aviators for 2013. The Aviators folded following the 2015 season. The highlight for Rockford was the stellar 2004 Frontier League season with manager Bob Koopmann, winning the West division with a 59-37 (.615) record, advancing to the playoffs where they edged the Windy City Thunderbolts 3-2 in the best of five series to advance to the league championship series. Rockford would then sweep the Evansville Otters 3-0 to win the Frontier League title. The team was led by pitcher Josh Tomsu (10-3, 2.64 ERA), closer Josh Latimer (3-3, 15 saves, 2.47 ERA), Aaron McEachran (.332 BA, 11 HR, 62 RBI), Rico Santana (.284 BA, 5 HR, 65 RBI, 27 SB), Doug Schutt (.286 BA, 3 HR, 32 RBI, 39 SB) and Frontier League MVP Rich Austin (.359 BA, 15 HR, 77 RBI, 22 SB). The franchise hit instability in 2012 when the RiverHawks ballpark went through foreclosure. The stadium ultimately was sold through auction in 2015. The league had taken over management of the Aviators franchise late in the 2015 season, and with financial instability, the team disbanded. Rockford is represented in the Frontier League Hall of Fame by outfielders Stephen Holdren, Jason James and Richard Austin. Seasons Notable alumni Drew Rucinski (2011–13) José Martínez (2014) Josh Smoker (2014) Nick Anderson (2012–13) References External links Frontier League Aviators page at OurSports Central Frontier League teams Professional baseball teams in Illinois Defunct Frontier League teams Defunct baseball teams in Illinois Aviators Baseball teams established in 2013 Baseball teams disestablished in 2015 Defunct independent baseball league teams 2013 establishments in Illinois Baseball teams established in 2002

",Question: where is
when was pot made illegal in the us,"Question: when was pot made illegal in the us


Document 1:
In Norse mythology, Borghild was the first wife of Sigmund. She bore him two sons, Hamund and Helgi. Völsunga saga Sinfjötli (Borghild's step-son) ""saw a lovely woman and strongly desired to have her. The brother of Borghild, the wife of King Sigmund, had also asked for her hand."". Sinfjötli killed the brother in a contest to win the maiden's hand, and Sinfjötli won. He became very famous. When he came home, he told his father Sigmund what had happened. Sigmund then told Borghild, and Borghild wanted Sinfjötli to leave the kingdom for killing her brother. Sigmund defended Sinfjötli, but offered to pay Borghild compensation. This was a generous offer, similar to Hrafnkel's offer to Thorbjorn for the death of Einar in Hrafnkels saga. Borghild, however, was not placated by this and said ""You shall decide, sir, as is fitting."". Borghild then arranged a funeral feast for her brother, and she served the drink. Serving the drink was characteristic of the shieldmaiden in the stories about Valhalla. She tells Sinfjötli to drink, but he says it is poisoned, and Sigmund takes it instead. Borghild makes fun of Sinfjötli saying, ""Why should other men drink ale for you?"". She then orders him to drink a second time, but Sinfjötli won't and Sigmund drinks it again. Borghild dares him a third time, saying that he should ""drain it, if he had the heart of a Volsung."". Sigmund is drunk at this point and isn't thinking clearly, so he also bids Sinfjötli to drink. Sinfjötli drank it and died. Sigmund was furious that his wife killed his son, so he drove Borghild out of the kingdom. Borghild died shortly after that. Borghild's poison worked on Sinfjötli and not Sigmund because of the Volsung blood. According to legend, the Volsung family descended from Odin, and were therefore part god. Sigmund had more god-like blood in him than Sinfjötli, so Sigmund could withstand the poison, and Sinfjötli could not. See also Völsunga saga Viking Saga Sigurd Sinfjötli Sigmund References Saga of the Volsungs ""The Norse Epic of Sigurd the Dragon Slayer"" with introduction and translation by Jesse Byock People in Norse mythology Völsung cycle

",Document 2:
where does the mora last name come from,"Question: where does the mora last name come from

",Returns:
who came to the throne in the glorious revolution,"Question: who came to the throne in the glorious revolution


Document 1:
In software, a wildcard character is a kind of placeholder represented by a single character, such as an asterisk (), which can be interpreted as a number of literal characters or an empty string. It is often used in file searches so the full name need not be typed. Telecommunication In telecommunications, a wildcard is a character that may be substituted for any of a defined subset of all possible characters. In high-frequency (HF) radio automatic link establishment, the wildcard character may be substituted for any one of the 36 upper-case alphanumeric characters. Whether the wildcard character represents a single character or a string of characters must be specified. Computing In computer (software) technology, a wildcard is a symbol used to replace or represent one or more characters. Algorithms for matching wildcards have been developed in a number of recursive and non-recursive varieties. File and directory patterns When specifying file names (or paths) in CP/M, DOS, Microsoft Windows, and Unix-like operating systems, the asterisk character (, also called ""star"") matches zero or more characters. For example, matches and but not . In Unix-like and DOS operating systems, the question mark matches exactly one character. In DOS, if the question mark is placed at the end of the word, it will also match missing (zero) trailing characters; for example, the pattern will match and , but not . In Unix shells and Windows PowerShell, ranges of characters enclosed in square brackets ( and ) match a single character within the set; for example, matches any single uppercase or lowercase letter. In Unix shells, a leading exclamation mark negates the set and matches only a character not within the list. In shells that interpret as a history substitution, a leading caret can be used instead. The operation of matching of wildcard patterns to multiple file or path names is referred to as globbing. Databases In SQL, wildcard characters can be used in LIKE expressions; the percent sign matches zero or more characters, and underscore a single character. Transact-SQL also supports square brackets ( and ) to list sets and ranges of characters to match, a leading caret negates the set and matches only a character not within the list. In Microsoft Access, the asterisk sign matches zero or more characters, the question mark matches a single character, the number sign matches a single digit (0–9), and square brackets can be used for sets or ranges of characters to match. Regular expressions In regular expressions, the period (, also called ""dot"") is the wildcard pattern which matches any single character. Combined with the asterisk operator it will match any number of any characters. In this case, the asterisk is also known as the Kleene star. See also glob (programming) Pattern matching Query by Example Wildcard DNS record wildmat References External links How to Use Wildcards Computer file formats Pattern matching

","estion:
What"
who is the founder of the wounded warrior project,"Question: who is the founder of the wounded warrior project

",
when did the i-35 bridge collapse in minneapolis,"Question: when did the i-35 bridge collapse in minneapolis

",A. 2008
who played leatherface in texas chainsaw massacre the beginning,"Question: who played leatherface in texas chainsaw massacre the beginning

",A. John Wayne
where does great wall of china start and end,"Question: where does great wall of china start and end

",Solution:
what are the 3 peaks in yorkshire called,"Question: what are the 3 peaks in yorkshire called

",Returns:
what was the period before the enlightenment called,"Question: what was the period before the enlightenment called


Document 1:
Webberville is a village in Ingham County in the U.S. state of Michigan. It is located within Leroy Township. The population was 1,272 at the 2010 census. The village is just southeast of the junction of M-43 and M-52 with I-96. It is about southeast of Williamston and about southeast of Lansing. Geography According to the United States Census Bureau, the village had a total area of , of which is land and is water. History Webberville was settled in 1837 by Ephraim Meech. It was originally named Phelpstown. In 1850 it was renamed Leroy after Daniel LeRoy the first Attorney General of the state of Michigan. It was renamed Webberville in 1867 when the post office was reestablished since there was another town in Michigan named Leroy. Webberville was for the postmaster Hubert Webber. The Michigan Brewing Company operating in Webberville from 1996–2012. Demographics 2010 census As of the census of 2010, there were 1,272 people, 508 households, and 352 families living in the village. The population density was . There were 573 housing units at an average density of . The racial makeup of the village was 97.5% White, 0.6% African American, 0.2% Native American, 0.1% Asian, 0.8% from other races, and 0.9% from two or more races. Hispanic or Latino of any race were 2.7% of the population. There were 508 households, of which 35.4% had children under the age of 18 living with them, 49.8% were married couples living together, 14.0% had a female householder with no husband present, 5.5% had a male householder with no wife present, and 30.7% were non-families. 26.8% of all households were made up of individuals, and 6.5% had someone living alone who was 65 years of age or older. The average household size was 2.50 and the average family size was 3.01. The median age in the village was 35.6 years. 26.4% of residents were under the age of 18; 8.1% were between the ages of 18 and 24; 28.5% were from 25 to 44; 27.7% were from 45 to 64; and 9.2% were 65 years of age or older. The gender makeup of the village was 49.6% male and 50.4% female. 2000 census As of the census of 2000, there were 1,503 people, 561 households, and 403 families living in the village. The population density was 1,207.0 per square mile (464.2/km). There were 612 housing units at an average density of 491.5 per square mile (189.0/km). The racial makeup of the village was 97.01% White, 0.60% African American, 0.27% Native American, 0.33% Asian, 0.40% from other races, and 1.40% from two or more races. Hispanic or Latino of any race were 1.06% of the population. There were 561 households, out of which 41.0% had children under the age of 18 living with them, 51.2% were married couples living together, 15.9% had a female householder with no husband present, and 28.0% were non-families. 22.1% of all households were made up of individuals, and 6.4% had someone living alone who was 65 years of age or older. The average household size was 2.68 and the average family size was 3.12. In the village, the population was spread out, with 30.7% under the age of 18, 9.7% from 18 to 24, 34.5% from 25 to 44, 17.8% from 45 to 64, and 7.3% who were 65 years of age or older. The median age was 31 years. For every 100 females, there were 93.4 males. For every 100 females age 18 and over, there were 86.4 males. The median income for an average household in the village was $45,388, and the median income for a family was $47,625. Males had a median income of $38,375 versus $23,563 for females. The per capita income for the village was $17,663. About 4.7% of families and 5.5% of the population were below the poverty line, including 6.8% of those under age 18 and 6.1% of those age 65 or over. References Villages in Ingham County, Michigan Villages in Michigan Lansing–East Lansing metropolitan area Populated places established in 1837 1837 establishments in Michigan

",estion: What is
who's running for lieutenant governor in georgia,"Question: who's running for lieutenant governor in georgia


Document 1:
Relationship most often refers to: Family relations and relatives: consanguinity Interpersonal relationship, a strong, deep, or close association or acquaintance between two or more people Correlation and dependence, relationships in mathematics and statistics between two variables or sets of data Semantic relationship, an ontology component Romance (love), a connection between two people driven by love and/or sexual attraction Relationship or Relationships may also refer to: Arts and media ""Relationships"", an episode of the British TV series As Time Goes By The Relationship, an American rock band The Relationship (album), their 2010 album The Relationships, an English band who played at the 2009 Truck Festival Relationships, a 1994 album by BeBe & CeCe Winans Relationships, a 2001 album by Georgie Fame ""Relationship"", a song by Lakeside on the 1987 album Power ""Relationship"", a song by [Mumzy Stranger from his 2008 mixtape ""Relationship"", a song by Young Thug from the 2017 album Beautiful Thugger Girls Other uses Relationship (archaeology), the position in space of an object with respect to another See also Affinity (disambiguation) Entity–relationship model Relation (disambiguation)

",Document 2:
what is the full name of nigerian president,"Question: what is the full name of nigerian president


Document 1:
Manannah Township is a township in Meeker County, Minnesota, United States. The population was 610 at the 2000 census. Most of the city of Eden Valley is located in Manannah Township Manannah Township was organized in 1857, and named after Manannah. Geography According to the United States Census Bureau, the township has a total area of 38.6 square miles (99.9 km2), of which 38.5 square miles (99.6 km2) is land and 0.1 square miles (0.3 km2) (0.31%) is water. Manannah Township is located in Township 121 North of the Arkansas Base Line and Range 31 West of the 5th Principal Meridian. Demographics As of the census of 2000, there were 610 people, 207 households, and 168 families residing in the township. The population density was 15.9 people per square mile (6.1/km2). There were 216 housing units at an average density of 5.6/sq mi (2.2/km2). The racial makeup of the township was 99.84% White and 0.16% Asian. Hispanic or Latino of any race were 0.49% of the population. There were 207 households, out of which 40.1% had children under the age of 18 living with them, 70.5% were married couples living together, 4.8% had a female householder with no husband present, and 18.4% were non-families. 16.4% of all households were made up of individuals, and 6.8% had someone living alone who was 65 years of age or older. The average household size was 2.95 and the average family size was 3.27. In the township the population was spread out, with 32.6% under the age of 18, 6.2% from 18 to 24, 27.5% from 25 to 44, 21.1% from 45 to 64, and 12.5% who were 65 years of age or older. The median age was 35 years. For every 100 females, there were 114.8 males. For every 100 females age 18 and over, there were 117.5 males. The median income for a household in the township was $39,813, and the median income for a family was $41,250. Males had a median income of $28,500 versus $20,774 for females. The per capita income for the township was $14,077. About 7.1% of families and 8.2% of the population were below the poverty line, including 6.8% of those under age 18 and 8.6% of those age 65 or over. References Townships in Meeker County, Minnesota Townships in Minnesota 1857 establishments in Minnesota Territory Populated places established in 1857

",Document 2:
who played fdr in the movie pearl harbor,"Question: who played fdr in the movie pearl harbor

",A. Robert Mitch
who played the voice of jabba the hutt,"Question: who played the voice of jabba the hutt


Document 1:
Year 298 (CCXCVIII) was a common year starting on Saturday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Faustus and Gallus (or, less frequently, year 1051 Ab urbe condita). The denomination 298 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years. Events By place Roman Empire Spring: Emperor Diocletian retakes Alexandria and crushes the usurpation of Aurelius Achilleus. Diocletian then travels into Upper Egypt and possibly campaigns on the Nubian frontier. In either this year or in 300/1, he makes agreements with the Meroitic Nubians and the Blemmyes. He agrees to pay subsidies to both peoples, and he cedes the Dodecashoenos to the Nubians on the understanding that the Nubians will defend the region against the Blemmyes. Caesar Galerius restores Tiridates III to the throne of Armenia and invades the Sassanid Empire. His army marches through Adiabene, Atropatene, Susiana and Lower Mesopotamia. He then retakes the strategically important city of Nisibis in Upper Mesopotamia. Korea The manufacture of cultured silk becomes popular from Korea to Japan. Bunseo becomes king of the Korean kingdom of Baekje. Girim becomes the king of the Korean kingdom of Silla. Births Athanasius of Alexandria, Egyptian patriarch (d. 373) Deaths Aurelius Achilleus, Roman usurper Cassian of Tangier, Christian martyr Chaekgye of Baekje, Korean ruler Marcellus of Tangier, Christian martyr Yurye of Silla (or Yuri), Korean ruler References

",Question 2:
who won the women's fifa world cup,"Question: who won the women's fifa world cup

",
last team to win fa cup not in top division,"Question: last team to win fa cup not in top division


Document 1:
Pomeranian Voivodeship, Pomorskie Region, or Pomerania Province (Polish: województwo pomorskie ), is a voivodeship, or province, in northwestern Poland. The provincial capital is Gdańsk. The voivodeship was established on January 1, 1999, out of the former voivodeships of Gdańsk, Elbląg and Słupsk, pursuant to the Polish local government reforms adopted in 1997. It is bordered by West Pomeranian Voivodeship to the west, Greater Poland and Kuyavian-Pomeranian Voivodeships to the south, Warmian-Masurian Voivodeship to the east, and the Baltic Sea to the north. It also shares a short land border with Russia (Kaliningrad Oblast), on the Vistula Spit. The voivodeship comprises most of Pomerelia (the easternmost part of historical Pomerania), as well as an area east of the Vistula River. The western part of the province, around Słupsk, belonged historically to Farther Pomerania, while Pomerelia and the eastern bank of the Vistula belonged to the historical region of Prussia. The central parts of the province are also known as Kashubia, named after the Kashubian minority. The province is one of rich cultural heritage. The Tricity urban area, consisting of Gdańsk, Gdynia and Sopot, is one of the main cultural, commercial and educational centres of Poland. Gdańsk and Gdynia are two of the major Polish seaports, the first erected by Mieszko I of Poland in the Middle Ages, the latter built in the interwar period. Amongst the most recognisable landmarks of the region are the historic city centre of Gdańsk filled with Gothic, Renaissance and Baroque masterpieces, the Museum of the National Anthem in Będomin, located at the birthplace of Józef Wybicki, poet and politician, author of the national anthem of Poland, the largest medieval churches of Poland (the St. Mary's Church in Gdańsk and the Cathedral Basilica of the Assumption in Pelplin) and the Malbork Castle. The voivodeship also includes the narrow Hel Peninsula and the Polish half of the Vistula Spit. Other tourist destinations include Wejherowo, Sopot, Jurata, Łeba, Władysławowo, Puck, Krynica Morska, Ustka, Jastarnia, Kuźnica, Bytów and many fishing ports, lighthouses, and boats. The name Pomerania derives from the Slavic po more, meaning ""by the sea"" or ""on the sea"". Cities and towns The voivodeship contains more than 42 cities and towns. These are listed below in descending order of population (official 2019 figures). Administrative division Pomeranian Voivodeship is divided into 20 counties (powiats): 4 city counties, and 16 land counties. These are further divided into 123 gminas (communes). The counties are listed below in order of decreasing population. Governors Economy The Gross domestic product (GDP) of the province was 29.2 billion euros in 2018, accounting for 5.9% of Polish economic output. GDP per capita adjusted for purchasing power was 20,800 euros or 69% of the EU27 average in the same year. The GDP per employee was 74% of the EU average. Major corporations Transport SKM Gdańsk Lech Wałęsa Airport Obwodnica Trójmiejska Autostrada A1 Pomorska Kolej Metropolitalna Education Higher education Protected areas Protected areas in Pomeranian Voivodeship include two National Parks and nine Landscape Parks. These are listed below. Słowiński National Park (a UNESCO-designated biosphere reserve) Tuchola Forest National Park Coastal Landscape Park Iława Lake District Landscape Park (partly in Warmian-Masurian Voivodeship) Kashubian Landscape Park Słupia Valley Landscape Park Tricity Landscape Park Tuchola Landscape Park (partly in Kuyavian-Pomeranian Voivodeship) Vistula Spit Landscape Park Wdydze Landscape Park Zaborski Landscape Park Gallery References External links Information about Pomeranian Voivodeship - official website (pl, en, ru) Economy brochure (en) The Pomorskie Voivodeship. The Greatest Tourist Attractions - Brochure (en) Pomerania Development Agency Co. (en) Pomerania 1999 establishments in Poland States and territories established in 1999


Document 2:
Perseis may refer to: Perseis (Paeonia), an ancient Macedonian city Perse (mythology), or Perseis, a figure in Greek mythology Perseis, a genus of moths, now known as Parachma Perseis, a disused synonym of a genus of sea cucumbers, Bohadschia

",Exercise 1:
what is the rank of india in the richest country,"Question: what is the rank of india in the richest country


Document 1:
Sangerville is a town in Piscataquis County, Maine, United States. The population was 1,306 at the 2020 census. The town was named after Colonel Calvin Sanger, a landowner. On June 14, 2014 Sangerville celebrated its bicentennial. Geography According to the United States Census Bureau, the town has a total area of , of which, of it is land and is water. Climate This climatic region is typified by large seasonal temperature differences, with warm to hot (and often humid) summers and cold (sometimes severely cold) winters. According to the Köppen Climate Classification system, Sangerville has a humid continental climate, abbreviated ""Dfb"" on climate maps. Demographics 2010 census As of the census of 2010, there were 1,343 people, 612 households, and 402 families living in the town. The population density was . There were 886 housing units at an average density of . The racial makeup of the town was 96.8% White, 0.4% African American, 1.1% Native American, 0.2% Asian, 0.1% from other races, and 1.3% from two or more races. Hispanic or Latino of any race were 0.4% of the population. There were 613 households, of which 23.3% had children under the age of 18 living with them, 52.4% were married couples living together, 7.2% had a female householder with no husband present, 6.0% had a male householder with no wife present, and 34.4% were non-families. 28.9% of all households were made up of individuals, and 14.1% had someone living alone who was 65 years of age or older. The average household size was 2.19 and the average family size was 2.61. The median age in the town was 48.6 years. 18.2% of residents were under the age of 18; 6% were between the ages of 18 and 24; 19.8% were from 25 to 44; 35.7% were from 45 to 64; and 20.3% were 65 years of age or older. The gender makeup of the town was 48.3% male and 51.7% female. 2000 census As of the census of 2000, there were 1,270 people, 554 households, and 361 families living in the town. The population density was 33.0 people per square mile (12.7/km). There were 787 housing units at an average density of 20.4 per square mile (7.9/km). The racial makeup of the town was 98.35% White, 0.55% African American, 0.47% Native American, 0.16% Asian, and 0.47% from two or more races. Hispanic or Latino of any race were 0.39% of the population. There were 554 households, out of which 26.4% had children under the age of 18 living with them, 53.1% were married couples living together, 8.5% had a female householder with no husband present, and 34.8% were non-families. 29.2% of all households were made up of individuals, and 14.3% had someone living alone who was 65 years of age or older. The average household size was 2.29 and the average family size was 2.80. In the town, the population was spread out, with 22.0% under the age of 18, 5.4% from 18 to 24, 26.6% from 25 to 44, 28.8% from 45 to 64, and 17.2% who were 65 years of age or older. The median age was 42 years. For every 100 females, there were 101.3 males. For every 100 females age 18 and over, there were 99.0 males. The median income for a household in the town was $28,036, and the median income for a family was $35,809. Males had a median income of $26,518 versus $19,353 for females. The per capita income for the town was $13,984. About 8.7% of families and 11.5% of the population were below the poverty line, including 12.5% of those under age 18 and 17.2% of those age 65 or over. Notable people Hiram Maxim, inventor of the first self-powered machine gun Sir Harry Oakes, 1st Baronet References External links City-Data.com Towns in Piscataquis County, Maine Towns in Maine


Document 2:
The 1070s was a decade of the Julian Calendar which began on January 1, 1070, and ended on December 31, 1079. Significant people Omar Khayyam William the Conqueror References

",cument 3:
when did zody's go out of business,"Question: when did zody's go out of business

",A. 1885
what is the meaning of the name patricia,"Question: what is the meaning of the name patricia


Document 1:
The 1640s BC was a decade lasting from January 1, 1649 BC to December 31, 1640 BC. Events and trends Significant people Bazaya, King of Assyria, r. 1650–1622 BC Ammi-Ditana, King of Babylonia, r. 1684–1647 BC (Middle Chronology) Ammi-Saduqa, King of Babylonia, r. 1647–1626 BC (Middle Chronology) Tang, Shang Dynasty King of China, r. 1675–1646 BC Tài Dīng, Shang Dynasty King of China, r. 1646–1644 BC Bu Bing, Shang Dynasty King of China, r. 1644–1612 BC Salitis, Fifteenth dynasty Pharaoh of Egypt, r. c.1648–1628 BC Djehuti, Sixteenth Dynasty Pharaoh of Egypt, r. c.1650–1647 BC Sobekhotep VIII, Sixteenth Dynasty Pharaoh of Egypt, r. c.1647–1631 BC Kuk-Nashur II, King of Elam, r. c. 1650–1635 BC Hattusili I, King of the Hittites, r. c.1650–1620 BC (middle chronology) Kashtiliash II, King of the Kassites, r. 1650–1640 BC Urzigurumash, King of the Kassites, r. 1640–1630 BC Ishkibal, King of the Sealand, r. 1657–1642 BC Shushshi, King of the Sealand, r. 1642–1618 BC References

",Document 2:
who came up with the idea of communism,"Question: who came up with the idea of communism

",A. Karl Marx
